country,year,happiness
Afghanistan,2018,2.6943032739999997
Albania,2018,5.004402637
Algeria,2018,5.043086052
Angola,2014,3.794837952
Argentina,2018,5.792796612
Armenia,2018,5.062448502
Australia,2018,7.17699337
Austria,2018,7.396001816
Azerbaijan,2018,5.1679954530000005
Bahrain,2017,6.227320671
Bangladesh,2018,4.499217033
Belarus,2018,5.233769894
Belgium,2018,6.89217186
Belize,2014,5.955646515
Benin,2018,5.81982708
Bhutan,2015,5.082128525
Bolivia,2018,5.915734291000001
Bosnia and Herzegovina,2018,5.887401103999999
Botswana,2018,3.4613657
Brazil,2018,6.190921782999999
Bulgaria,2018,5.098813534
Burkina Faso,2018,4.92723608
Burundi,2018,3.775283098
Cambodia,2018,5.1218376160000005
Cameroon,2018,5.250737667
Canada,2018,7.175496578
Central African Republic,2017,3.475862026
Chad,2018,4.4863252639999995
Chile,2018,6.436220646000001
China,2018,5.131433964
Colombia,2018,5.983512402000001
Comoros,2018,3.9728195669999997
Congo (Brazzaville),2018,5.490214347999999
Congo (Kinshasa),2017,4.311033248999999
Costa Rica,2018,7.141074657000001
Croatia,2018,5.536271095
Cuba,2006,5.417868614
Cyprus,2018,6.276443005
Czech Republic,2018,7.034165382
Denmark,2018,7.648785591
Djibouti,2011,4.369193554
Dominican Republic,2018,5.433215617999999
Ecuador,2018,6.128010272999999
Egypt,2018,4.005450726
El Salvador,2018,6.276246071
Estonia,2018,6.091302395
Ethiopia,2018,4.3792624469999994
Finland,2018,7.85810709
France,2018,6.665903567999999
Gabon,2018,4.783009052
Gambia,2018,4.922099113
Georgia,2018,4.659097195
Germany,2018,7.118364334
Ghana,2017,5.481310843999999
Greece,2018,5.40928936
Guatemala,2018,6.626591682000001
Guinea,2018,5.25222683
Guyana,2007,5.992826462000001
Haiti,2018,3.614928007
Honduras,2018,5.908423901
Hong Kong S.A.R. of China,2017,5.362474918
Hungary,2017,6.065038681
Iceland,2017,7.476213932
India,2018,3.818068743
Indonesia,2018,5.340295792
Iran,2018,4.278117657
Iraq,2017,4.462399006
Ireland,2018,6.962335587
Israel,2018,6.92717886
Italy,2018,6.516526699
Ivory Coast,2018,5.26837492
Jamaica,2017,5.889759064
Japan,2018,5.793575287
Jordan,2018,4.638933659
Kazakhstan,2018,6.00763607
Kenya,2018,4.655702591
Kosovo,2018,6.391825676
Kuwait,2017,6.093905449
Kyrgyzstan,2018,5.297383308
Laos,2018,4.85940218
Latvia,2018,5.901154041
Lebanon,2018,5.167186737
Lesotho,2017,3.795300722
Liberia,2018,4.134852886
Libya,2018,5.493977547
Lithuania,2018,6.308878899
Luxembourg,2018,7.2426309589999995
Macedonia,2018,5.239834785
Madagascar,2018,4.070586681
Malawi,2018,3.3346335889999996
Malaysia,2018,5.338817596
Mali,2018,4.415729523
Malta,2018,6.909710884
Mauritania,2018,4.3136153219999995
Mauritius,2018,5.88174057
Mexico,2018,6.5495786670000005
Moldova,2018,5.682277203
Mongolia,2018,5.464622974
Montenegro,2018,5.650189877000001
Morocco,2018,4.896791935
Mozambique,2018,4.653713703
Myanmar,2018,4.410633087
Namibia,2018,4.834087848999999
Nepal,2018,4.910086632
Netherlands,2018,7.463097095
New Zealand,2018,7.370285987999999
Nicaragua,2018,5.81895256
Niger,2018,5.164007187
Nigeria,2018,5.252288342
North Cyprus,2018,5.608056068
Norway,2018,7.444262028
Oman,2011,6.852982044
Pakistan,2018,5.471553802000001
Palestinian Territories,2018,4.5539217
Panama,2018,6.2814340589999995
Paraguay,2017,5.71329546
Peru,2018,5.679661274
Philippines,2018,5.869172572999999
Poland,2017,6.201268196
Portugal,2018,5.9198226929999995
Qatar,2015,6.3745293620000005
Romania,2018,6.150878906
Russia,2018,5.513500214
Rwanda,2018,3.5610466
Saudi Arabia,2018,6.356393337
Senegal,2018,4.769377232
Serbia,2018,5.9364933970000004
Sierra Leone,2018,4.305683136
Singapore,2018,6.374564171
Slovakia,2018,6.23511076
Slovenia,2018,6.249419212
Somalia,2016,4.6679410930000005
Somaliland region,2012,5.057314396000001
South Africa,2018,4.8839220999999995
South Korea,2018,5.840231419
South Sudan,2017,2.8166224960000004
Spain,2018,6.513370991
Sri Lanka,2018,4.400223255
Sudan,2014,4.138672829
Suriname,2012,6.269286632999999
Swaziland,2018,4.211565018
Sweden,2018,7.3747920989999995
Switzerland,2018,7.508586884
Syria,2015,3.46191287
Taiwan Province of China,2018,6.4670047760000005
Tajikistan,2017,5.829234122999999
Tanzania,2018,3.445023298
Thailand,2018,6.0115618710000005
Togo,2018,4.022894859
Trinidad and Tobago,2017,6.191859722
Tunisia,2018,4.741132259
Turkey,2018,5.185689449
Turkmenistan,2018,4.620601654
Uganda,2018,4.321714878
Ukraine,2018,4.661909103
United Arab Emirates,2018,6.603743552999999
United Kingdom,2018,7.233445167999999
United States,2018,6.882684707999999
Uruguay,2018,6.371714592000001
Uzbekistan,2018,6.205460072
Venezuela,2018,5.005663395
Vietnam,2018,5.295547009
Yemen,2018,3.057513952
Zambia,2018,4.041488171
